Postcode,e-PIMS ID,Legislative Country,Effective From,Effective To
W111DD,268374,England,01/01/2022,
W111EE,268374,England,01/01/2022,
W113EG,268374,England,01/01/2022,
W113SG,268374,England,01/01/2022,
W114SN,268374,England,01/01/2022,
W114UR,268374,England,01/01/2022,
W114XX,268374,England,01/01/2022,
W120EB,268374,England,01/01/2022,
W120JA,268374,England,01/01/2022,
W120LD,268374,England,01/01/2022,
W120LZ,268374,England,01/01/2022,
W120PH,268374,England,01/01/2022,
W120ST,268374,England,01/01/2022,
W120TB,268374,England,01/01/2022,
W120TD,268374,England,01/01/2022,
W120TS,268374,England,01/01/2022,
W120UN,268374,England,01/01/2022,
W127AN,268374,England,01/01/2022,
W127AW,268374,England,01/01/2022,
W127DZ,268374,England,01/01/2022,
W127EE,268374,England,01/01/2022,
W127EX,268374,England,01/01/2022,
W127LL,268374,England,01/01/2022,
W128,268374,England,01/01/2022,
W128BA,268374,England,01/01/2022,
W128BS,268374,England,01/01/2022,
W128EU,268374,England,01/01/2022,
W128LE,268374,England,01/01/2022,
W128LG,268374,England,01/01/2022,
W128LL,268374,England,01/01/2022,
W128LP,268374,England,01/01/2022,
W128LY,268374,England,01/01/2022,
W129,268374,England,01/01/2022,
W129DB,268374,England,01/01/2022,
W129JB,268374,England,01/01/2022,
W129RN,268374,England,01/01/2022,
W129SH,268374,England,01/01/2022,
W129ST,268374,England,01/01/2022,
W129UJ,268374,England,01/01/2022,
W12OEB,268374,England,01/01/2022,
W130SE,268374,England,01/01/2022,
W140,268374,England,01/01/2022,
W148,268374,England,01/01/2022,
W148TA,268374,England,01/01/2022,
W149,268374,England,01/01/2022,
W1A1,268374,England,01/01/2022,
W1A2,268374,England,01/01/2022,
W1A4,268374,England,01/01/2022,
W1G0PL,268374,England,01/01/2022,
W1H3,268374,England,01/01/2022,
W1K6WZ,268374,England,01/01/2022,
W1M0,268374,England,01/01/2022,
W1M1,268374,England,01/01/2022,
W1M2,268374,England,01/01/2022,
W24HB,268374,England,01/01/2022,
W30LG,268374,England,01/01/2022,
W31XW,268374,England,01/01/2022,
W36BF,268374,England,01/01/2022,
W36BX,268374,England,01/01/2022,
W37LG,268374,England,01/01/2022,
W38LX,268374,England,01/01/2022,
W39AR,268374,England,01/01/2022,
W39JJ,268374,England,01/01/2022,
W51SJ,268374,England,01/01/2022,
W51TU,268374,England,01/01/2022,
W53LA,268374,England,01/01/2022,
W60,268374,England,01/01/2022,
W60XY,268374,England,01/01/2022,
W64SA,268374,England,01/01/2022,
W67,268374,England,01/01/2022,
W67NS,268374,England,01/01/2022,
W67PB,268374,England,01/01/2022,
W67TB,268374,England,01/01/2022,
W68,268374,England,01/01/2022,
W68DN,268374,England,01/01/2022,
W69,268374,England,01/01/2022,
W70LG,268374,England,01/01/2022,
W73HL,268374,England,01/01/2022,
W73JG,268374,England,01/01/2022,
W84,268374,England,01/01/2022,
W85,268374,England,01/01/2022,
W86,268374,England,01/01/2022,
W87,268374,England,01/01/2022,
